date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:53	83953/83953	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Nov%202019%2020:39:59%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/files/Collection-1.png?v=1569218195	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/files/Collection-18c3b.png	(from https://susan-demo.myshopify.com/)
10:48:55	160289/160289	---MCZ	200	added ('OK')	text/html	etag:cacheable:3d02f146e99e848fa40fe352bf073cf7	https://susan-demo.myshopify.com/collections/children	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/collections/children.html	(from https://susan-demo.myshopify.com/)
10:48:57	69512/69512	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Nov%202019%2020:40:03%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/files/Collection-2.png?v=1569218207	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/files/Collection-2391f.png	(from https://susan-demo.myshopify.com/)
10:49:00	114002/114002	---MCZ	200	added ('OK')	text/html	etag:cacheable:5ea2cc636ee18fc37db7bb564ddd6193	https://susan-demo.myshopify.com/products/10-this-is-the-large-title-for-testing-large-title-and-there-is-an-image-for-testing	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/products/10-this-is-the-large-title-for-testing-large-title-and-there-is-an-image-for-testing.html	(from https://susan-demo.myshopify.com/)
10:49:03	26230/26230	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Nov%202019%2020:40:15%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/products/3_3a75d8cc-62e7-4263-84a6-baa031e0ccb4_600x800_crop_center.jpg?v=1569231150	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/products/3_3a75d8cc-62e7-4263-84a6-baa031e0ccb4_600x800_crop_centerddda.jpg	(from https://susan-demo.myshopify.com/)
10:49:03	30457/30457	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Nov%202019%2020:40:12%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/products/2_02626e15-b00d-4359-b0eb-1b1ce8f6fd8d_600x800_crop_center.jpg?v=1569231150	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/products/2_02626e15-b00d-4359-b0eb-1b1ce8f6fd8d_600x800_crop_centerddda.jpg	(from https://susan-demo.myshopify.com/)
10:49:03	78533/78533	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Nov%202019%2020:40:08%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/files/Collection-3.png?v=1569218218	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/files/Collection-3f310.png	(from https://susan-demo.myshopify.com/)
10:49:06	118838/118838	---MCZ	200	added ('OK')	text/html	etag:cacheable:812f3f7e81812d73e02fcc589647716d	https://susan-demo.myshopify.com/collections/vendors?q=Vendor%2010	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/collections/vendors070d.html	(from https://susan-demo.myshopify.com/)
10:49:08	24818/24818	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Nov%202019%2020:40:20%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/products/11_e272e529-4c81-454b-b9ff-99dcfba814f1_600x800_crop_center.jpg?v=1569231225	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/products/11_e272e529-4c81-454b-b9ff-99dcfba814f1_600x800_crop_center557e.jpg	(from https://susan-demo.myshopify.com/)
10:49:11	119132/119132	---MCZ	200	added ('OK')	text/html	etag:cacheable:1c00931e66347a48b97061051cc11521	https://susan-demo.myshopify.com/collections/vendors?q=Vendor%208	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/collections/vendors5f3f.html	(from https://susan-demo.myshopify.com/)
